feature_a,feature_b,correlation,abs_correlation
au15_mean_amplitude__std,response_latency_mean__range,0.9790550175727645,0.9790550175727645
au20_activation_rate__std,extended_silence_ratio__std,0.9787551546386163,0.9787551546386163
gesture_frequency__mean,gesture_frequency__min,0.9776211909990817,0.9776211909990817
au20_activation_rate__std,nod_onset_latency__range,0.9775341680615376,0.9775341680615376
gaze_shift_frequency__mean,gaze_shift_frequency__min,0.9774535080614591,0.9774535080614591
posture_rigidity_index__mean,posture_rigidity_index__max,0.977315714557389,0.977315714557389
lip_compression_frequency__range,response_latency_mean__range,0.977242537755649,0.977242537755649
au20_activation_rate__std,speech_onset_delay__std,0.9771712743024337,0.9771712743024337
speech_onset_delay__std,nod_onset_latency__std,0.9763397847782047,0.9763397847782047
nod_onset_latency__range,extended_silence_ratio__std,0.9747748323529281,0.9747748323529281
au20_activation_rate__mean,nod_onset_latency__std,0.9743710144679198,0.9743710144679198
au12_variance__mean,au12_variance__std,0.9742055099918034,0.9742055099918034
au12_variance__mean,au12_variance__max,0.974110899064771,0.974110899064771
blink_rate__min,blink_cluster_density__min,0.9741033597015015,0.9741033597015015
extended_silence_ratio__std,extended_silence_ratio__range,0.9728897226154996,0.9728897226154996
au20_activation_rate__mean,extended_silence_ratio__std,0.9727367701902733,0.9727367701902733
blink_rate__mean,blink_cluster_density__min,0.9722006506292136,0.9722006506292136
au20_activation_rate__mean,nod_onset_latency__range,0.9720553207401411,0.9720553207401411
au12_mean_amplitude__mean,au12_mean_amplitude__min,0.9719944429754818,0.9719944429754818
eye_contact_ratio__std,eye_contact_ratio__range,0.9719534888408812,0.9719534888408812
response_latency_mean__std,response_latency_mean__max,0.9712479068231498,0.9712479068231498
nod_onset_latency__std,extended_silence_ratio__range,0.9712009325849461,0.9712009325849461
au15_mean_amplitude__range,lip_compression_frequency__std,0.9710345979990875,0.9710345979990875
au20_activation_rate__mean,speech_onset_delay__std,0.9700544396988886,0.9700544396988886
au12_variance__mean,au12_variance__range,0.9697020945172524,0.9697020945172524
eye_contact_ratio__min,eye_contact_ratio__max,0.9693993344356617,0.9693993344356617
au20_activation_rate__std,extended_silence_ratio__range,0.969083478695578,0.969083478695578
speech_onset_delay__std,speech_onset_delay__range,0.9672105963952123,0.9672105963952123
reaction_time_instability_index__min,reaction_time_instability_index__max,0.9670101585560699,0.9670101585560699
au20_activation_rate__std,au20_activation_rate__range,0.9669350973234199,0.9669350973234199
au20_activation_rate__std,au20_activation_rate__max,0.9669350973234199,0.9669350973234199
blink_rate__max,blink_cluster_density__min,0.9669272721299756,0.9669272721299756
speech_onset_delay__std,extended_silence_ratio__range,0.966621968839378,0.966621968839378
au15_mean_amplitude__range,lip_compression_frequency__range,0.9664712682225424,0.9664712682225424
speech_onset_delay__range,extended_silence_ratio__std,0.9663674118852806,0.9663674118852806
au20_activation_rate__std,speech_onset_delay__range,0.9647517334710858,0.9647517334710858
speech_onset_delay__range,nod_onset_latency__std,0.9646369881038175,0.9646369881038175
au12_activation_frequency__std,blink_cluster_density__std,0.964558207476947,0.964558207476947
au15_mean_amplitude__std,lip_compression_frequency__std,0.9643304292277172,0.9643304292277172
au12_activation_frequency__range,blink_cluster_density__range,0.9642844428064468,0.9642844428064468
reaction_time_instability_index__mean,reaction_time_instability_index__max,0.9640617201441292,0.9640617201441292
au15_mean_amplitude__std,response_latency_mean__max,0.9637980565919022,0.9637980565919022
pause_duration_mean__min,pause_duration_mean__max,0.9636763212562366,0.9636763212562366
speech_onset_delay__range,extended_silence_ratio__range,0.9636119953730101,0.9636119953730101
au12_activation_frequency__range,blink_cluster_density__std,0.9631492316741543,0.9631492316741543
au15_mean_amplitude__range,response_latency_mean__max,0.9629526835513665,0.9629526835513665
posture_rigidity_index__std,posture_rigidity_index__range,0.9628685460566206,0.9628685460566206
speech_onset_delay__std,nod_onset_latency__range,0.9627794609576424,0.9627794609576424
au4_duration_ratio__range,nod_onset_latency__std,0.9626699552748383,0.9626699552748383
mean_head_velocity__std,head_motion_energy__range,0.9620152627449938,0.9620152627449938
reaction_time_instability_index__mean,reaction_time_instability_index__min,0.9618195073226057,0.9618195073226057
near_zero_au_activation_ratio__min,near_zero_au_activation_ratio__range,-0.9618013512074576,0.9618013512074576
nod_onset_latency__range,extended_silence_ratio__range,0.9617995627138185,0.9617995627138185
mean_head_velocity__max,mean_head_velocity__range,0.9614777047708413,0.9614777047708413
au4_duration_ratio__range,au20_activation_rate__std,0.9613331405077032,0.9613331405077032
mean_head_velocity__std,head_motion_energy__std,0.9613145643575485,0.9613145643575485
blink_cluster_density__range,nod_onset_latency__std,0.9611288318680398,0.9611288318680398
mean_head_velocity__range,head_motion_energy__range,0.9611185170968657,0.9611185170968657
au20_activation_rate__mean,extended_silence_ratio__range,0.9607246875484953,0.9607246875484953
au12_activation_frequency__std,blink_cluster_density__range,0.9605331476066246,0.9605331476066246
facial_transition_frequency__std,facial_transition_frequency__range,0.9596499097901368,0.9596499097901368
pause_duration_mean__mean,pause_duration_mean__max,0.9596229591299543,0.9596229591299543
eye_contact_ratio__range,nod_onset_latency__std,0.959171499111236,0.959171499111236
pause_duration_mean__mean,pause_duration_mean__min,0.9589997532635635,0.9589997532635635
au15_mean_amplitude__std,lip_compression_frequency__range,0.9589030017004438,0.9589030017004438
response_latency_mean__min,pause_duration_mean__mean,0.9588454715672008,0.9588454715672008
au15_mean_amplitude__max,response_latency_mean__std,0.9581352942115244,0.9581352942115244
near_zero_au_activation_ratio__std,near_zero_au_activation_ratio__range,0.9577901995491894,0.9577901995491894
mean_head_velocity__std,mean_head_velocity__max,0.957607945064274,0.957607945064274
au20_activation_rate__std,eye_contact_ratio__range,0.9572245315131485,0.9572245315131485
au15_mean_amplitude__max,response_latency_mean__range,0.9569107780323203,0.9569107780323203
au4_duration_ratio__std,au4_duration_ratio__range,0.956611258215182,0.956611258215182
speech_onset_delay__range,nod_onset_latency__range,0.9565033972610314,0.9565033972610314
mean_head_velocity__range,head_motion_energy__std,0.9561659739515336,0.9561659739515336
lip_compression_frequency__std,response_latency_mean__max,0.9558592412746477,0.9558592412746477
blink_duration__std,blink_duration__range,0.9557122306204731,0.9557122306204731
response_latency_mean__min,pause_duration_mean__max,0.9556260847669273,0.9556260847669273
au4_duration_ratio__range,extended_silence_ratio__std,0.9554734807422911,0.9554734807422911
au12_activation_frequency__range,blink_duration__range,0.9554102451023142,0.9554102451023142
au20_activation_rate__mean,speech_onset_delay__range,0.955083930542238,0.955083930542238
au20_activation_rate__mean,au20_activation_rate__max,0.9544147384580034,0.9544147384580034
au20_activation_rate__mean,au20_activation_rate__range,0.9544147384580034,0.9544147384580034
eye_contact_ratio__range,extended_silence_ratio__std,0.9534992670866118,0.9534992670866118
au12_activation_frequency__std,blink_duration__range,0.9534678412582716,0.9534678412582716
au4_duration_ratio__range,speech_onset_delay__std,0.9534196943841317,0.9534196943841317
eye_contact_ratio__range,nod_onset_latency__range,0.9530675955170917,0.9530675955170917
gesture_frequency__min,gesture_frequency__max,0.9524771439316929,0.9524771439316929
eye_contact_ratio__range,speech_onset_delay__std,0.9522872523047197,0.9522872523047197
mean_head_velocity__max,head_motion_energy__range,0.9517228723772291,0.9517228723772291
au4_duration_ratio__range,nod_onset_latency__range,0.9514200330709693,0.9514200330709693
mean_head_velocity__max,head_motion_energy__max,0.9506140350133595,0.9506140350133595
eye_contact_ratio__range,speech_onset_delay__range,0.9499640506253887,0.9499640506253887
lip_compression_frequency__range,response_latency_mean__max,0.9495111639878238,0.9495111639878238
au20_activation_rate__max,nod_onset_latency__std,0.9494354165987383,0.9494354165987383
au20_activation_rate__range,nod_onset_latency__std,0.9494354165987383,0.9494354165987383
mean_head_velocity__std,head_motion_energy__max,0.949203830967664,0.949203830967664
au4_duration_ratio__range,au20_activation_rate__mean,0.9491695728617794,0.9491695728617794
mean_head_velocity__max,head_motion_energy__std,0.9487492194680951,0.9487492194680951
au12_variance__range,au1_au2_peak_intensity__std,0.9478992908639956,0.9478992908639956
blink_cluster_density__range,speech_onset_delay__std,0.9478397861169007,0.9478397861169007
mean_head_velocity__range,head_motion_energy__max,0.9477134584491308,0.9477134584491308
au4_duration_ratio__range,extended_silence_ratio__range,0.9477037826038285,0.9477037826038285
au12_variance__std,au1_au2_peak_intensity__std,0.9476822795208782,0.9476822795208782
au20_activation_rate__range,nod_onset_latency__range,0.9476301889534468,0.9476301889534468
au20_activation_rate__max,nod_onset_latency__range,0.9476301889534468,0.9476301889534468
eye_contact_ratio__std,nod_onset_latency__std,0.9473054065239126,0.9473054065239126
au20_activation_rate__std,blink_cluster_density__range,0.9472449408013025,0.9472449408013025
au12_variance__range,head_motion_energy__range,0.9467901926847019,0.9467901926847019
eye_contact_ratio__range,extended_silence_ratio__range,0.9463759596675566,0.9463759596675566
au12_variance__std,head_motion_energy__std,0.9463360374105548,0.9463360374105548
au4_duration_ratio__range,speech_onset_delay__range,0.9462922126902276,0.9462922126902276
au12_variance__std,head_motion_energy__range,0.9460906900633915,0.9460906900633915
au20_activation_rate__mean,eye_contact_ratio__range,0.9456860090010553,0.9456860090010553
blink_duration__range,blink_cluster_density__std,0.9455456269298258,0.9455456269298258
au20_activation_rate__std,eye_contact_ratio__std,0.9455329690272063,0.9455329690272063
blink_duration__range,blink_cluster_density__range,0.9452474911260434,0.9452474911260434
au12_variance__max,au1_au2_peak_intensity__std,0.9451967445729772,0.9451967445729772
eye_contact_ratio__std,extended_silence_ratio__std,0.9449192397439208,0.9449192397439208
blink_cluster_density__std,nod_onset_latency__std,0.9448625213583306,0.9448625213583306
au12_variance__max,head_motion_energy__range,0.9447720537950982,0.9447720537950982
au12_variance__range,head_motion_energy__max,0.9446111409647162,0.9446111409647162
au4_duration_ratio__range,blink_cluster_density__range,0.9444692605316728,0.9444692605316728
au12_variance__std,head_motion_energy__max,0.9440447095397433,0.9440447095397433
eye_contact_ratio__std,speech_onset_delay__std,0.9439775962418868,0.9439775962418868
au12_variance__range,head_motion_energy__std,0.9436285820451747,0.9436285820451747
au12_variance__max,head_motion_energy__max,0.9435030254414457,0.9435030254414457
posture_rigidity_index__max,posture_rigidity_index__range,0.9427717163008329,0.9427717163008329
au4_duration_ratio__range,eye_contact_ratio__range,0.9419756914406123,0.9419756914406123
au12_variance__max,head_motion_energy__std,0.9415926427172042,0.9415926427172042
gaze_shift_frequency__min,gaze_shift_frequency__max,0.941452796705892,0.941452796705892
au12_mean_amplitude__min,eye_contact_ratio__min,0.9410008864707706,0.9410008864707706
au4_duration_ratio__std,extended_silence_ratio__std,0.9404597764896827,0.9404597764896827
eye_contact_ratio__std,nod_onset_latency__range,0.9397465604737834,0.9397465604737834
au4_duration_ratio__std,nod_onset_latency__std,0.9390744023157969,0.9390744023157969
au4_duration_ratio__std,au20_activation_rate__std,0.9389173153998951,0.9389173153998951
blink_cluster_density__range,eye_contact_ratio__range,0.9387154645346453,0.9387154645346453
eye_contact_ratio__std,extended_silence_ratio__range,0.9371478534913025,0.9371478534913025
au20_activation_rate__mean,eye_contact_ratio__std,0.9362855324991101,0.9362855324991101
blink_cluster_density__range,extended_silence_ratio__range,0.9360831445194822,0.9360831445194822
au15_mean_amplitude__max,lip_compression_frequency__std,0.9356117915040209,0.9356117915040209
au15_mean_amplitude__max,response_latency_mean__max,0.9351092708073101,0.9351092708073101
near_zero_au_activation_ratio__std,motion_energy_floor_score__std,0.9350564024535957,0.9350564024535957
au12_variance__range,au1_au2_peak_intensity__range,0.9348021212632522,0.9348021212632522
au20_activation_rate__max,extended_silence_ratio__std,0.9347948909491659,0.9347948909491659
au20_activation_rate__range,extended_silence_ratio__std,0.9347948909491659,0.9347948909491659
blink_cluster_density__std,speech_onset_delay__std,0.934753864101546,0.934753864101546
au20_activation_rate__max,speech_onset_delay__std,0.9344424827372761,0.9344424827372761
au20_activation_rate__range,speech_onset_delay__std,0.9344424827372761,0.9344424827372761
au4_duration_ratio__std,nod_onset_latency__range,0.9343736929150644,0.9343736929150644
blink_cluster_density__range,speech_onset_delay__range,0.934309117915056,0.934309117915056
au4_duration_ratio__range,au20_activation_rate__range,0.9342344904938283,0.9342344904938283
au4_duration_ratio__range,au20_activation_rate__max,0.9342344904938283,0.9342344904938283
au20_activation_rate__max,speech_onset_delay__range,0.9342162837052372,0.9342162837052372
au20_activation_rate__range,speech_onset_delay__range,0.9342162837052372,0.9342162837052372
blink_cluster_density__range,extended_silence_ratio__std,0.9341735239391934,0.9341735239391934
facial_transition_frequency__range,near_zero_au_activation_ratio__std,0.9335393607646368,0.9335393607646368
au4_duration_ratio__std,speech_onset_delay__std,0.9333947773916608,0.9333947773916608
au20_activation_rate__std,blink_cluster_density__std,0.9322569908847139,0.9322569908847139
eye_contact_ratio__std,speech_onset_delay__range,0.9318249417610392,0.9318249417610392
lip_compression_frequency__mean,lip_compression_frequency__max,0.9316280328502935,0.9316280328502935
au12_variance__max,au1_au2_peak_intensity__range,0.9315657097295347,0.9315657097295347
near_zero_au_activation_ratio__std,motion_energy_floor_score__range,0.9315587850330965,0.9315587850330965
au4_duration_ratio__std,au20_activation_rate__mean,0.9314358116385494,0.9314358116385494
blink_cluster_density__range,nod_onset_latency__range,0.931271618471139,0.931271618471139
au1_au2_peak_intensity__max,au1_au2_peak_intensity__range,0.9301891110936702,0.9301891110936702
au12_mean_amplitude__min,eye_contact_ratio__mean,0.9301364212236801,0.9301364212236801
au4_duration_ratio__min,au4_duration_ratio__range,-0.9298301820952092,0.9298301820952092
au20_activation_rate__mean,blink_cluster_density__range,0.9291089901654671,0.9291089901654671
au12_activation_frequency__range,posture_rigidity_index__range,0.9290560021826552,0.9290560021826552
au4_duration_ratio__std,extended_silence_ratio__range,0.9287313947240735,0.9287313947240735
au4_duration_ratio__range,eye_contact_ratio__std,0.9283818143718796,0.9283818143718796
au12_activation_frequency__std,blink_duration__std,0.928301338886774,0.928301338886774
au20_activation_rate__range,extended_silence_ratio__range,0.9281896049041954,0.9281896049041954
au20_activation_rate__max,extended_silence_ratio__range,0.9281896049041954,0.9281896049041954
au15_mean_amplitude__max,lip_compression_frequency__range,0.9278064223046893,0.9278064223046893
blink_duration__std,blink_cluster_density__std,0.9277136032859327,0.9277136032859327
au20_activation_rate__max,eye_contact_ratio__range,0.9276053869315689,0.9276053869315689
au20_activation_rate__range,eye_contact_ratio__range,0.9276053869315689,0.9276053869315689
response_latency_mean__min,extended_silence_ratio__min,0.9267252054397032,0.9267252054397032
au12_mean_amplitude__mean,eye_contact_ratio__mean,0.9266388591693101,0.9266388591693101
pause_duration_mean__min,extended_silence_ratio__min,0.9265502345099692,0.9265502345099692
au12_variance__std,au1_au2_peak_intensity__range,0.9265021106696547,0.9265021106696547
au4_duration_ratio__range,blink_cluster_density__std,0.9263432039653426,0.9263432039653426
au12_activation_frequency__std,posture_rigidity_index__range,0.9262793146696007,0.9262793146696007
au20_activation_rate__max,blink_cluster_density__range,0.9254766333273153,0.9254766333273153
au20_activation_rate__range,blink_cluster_density__range,0.9254766333273153,0.9254766333273153
posture_rigidity_index__range,blink_duration__range,0.9245326880737106,0.9245326880737106
blink_duration__std,blink_cluster_density__range,0.9243231590106502,0.9243231590106502
head_velocity_peak__range,blink_cluster_density__range,0.9235679510965332,0.9235679510965332
speech_onset_delay__max,speech_onset_delay__range,0.9233947481348453,0.9233947481348453
au12_activation_frequency__range,nod_onset_latency__std,0.9228607680202484,0.9228607680202484
au12_mean_amplitude__mean,eye_contact_ratio__min,0.9222597216933032,0.9222597216933032
motion_energy_floor_score__min,motion_energy_floor_score__range,-0.922091066431367,0.922091066431367
au12_activation_frequency__range,blink_duration__std,0.9218878680847198,0.9218878680847198
au12_variance__mean,head_motion_energy__max,0.9213838373825184,0.9213838373825184
au4_mean_activation__std,au4_mean_activation__range,0.9211048776562795,0.9211048776562795
au4_duration_ratio__std,speech_onset_delay__range,0.9206171439358872,0.9206171439358872
near_zero_au_activation_ratio__range,motion_energy_floor_score__range,0.9205851767680766,0.9205851767680766
au12_activation_frequency__range,head_velocity_peak__range,0.9203458407359348,0.9203458407359348
head_velocity_peak__range,posture_rigidity_index__range,0.9200931359012549,0.9200931359012549
au12_activation_frequency__mean,au12_activation_frequency__min,0.9196972129207507,0.9196972129207507
au4_duration_ratio__std,eye_contact_ratio__range,0.9193272286015184,0.9193272286015184
blink_cluster_density__std,eye_contact_ratio__range,0.9193145677779057,0.9193145677779057
micro_motion_energy__std,micro_motion_energy__range,0.919093063137675,0.919093063137675
micro_motion_energy__std,micro_motion_energy__max,0.9190901456547541,0.9190901456547541
head_velocity_peak__range,posture_rigidity_index__std,0.9187658706099491,0.9187658706099491
blink_cluster_density__std,extended_silence_ratio__range,0.9187346463258262,0.9187346463258262
mean_head_velocity__mean,mean_head_velocity__max,0.9186387330183798,0.9186387330183798
au4_duration_ratio__std,eye_contact_ratio__std,0.9185702189544438,0.9185702189544438
facial_transition_frequency__range,motion_energy_floor_score__range,0.9181142724281369,0.9181142724281369
blink_cluster_density__range,eye_contact_ratio__std,0.9177753395674431,0.9177753395674431
au12_variance__mean,head_motion_energy__range,0.9175152912153651,0.9175152912153651
facial_transition_frequency__range,motion_energy_floor_score__std,0.9174789749976938,0.9174789749976938
gesture_frequency__min,eye_contact_ratio__max,0.9173673699175822,0.9173673699175822
au12_variance__mean,head_motion_energy__std,0.9171223530139865,0.9171223530139865
posture_rigidity_index__range,blink_cluster_density__range,0.9169314316671104,0.9169314316671104
near_zero_au_activation_ratio__range,motion_energy_floor_score__std,0.9167317621432619,0.9167317621432619
au12_variance__range,au1_au2_peak_intensity__max,0.9159415642336963,0.9159415642336963
au12_variance__max,au1_au2_peak_intensity__max,0.9159025690442487,0.9159025690442487
near_zero_au_activation_ratio__std,near_zero_au_activation_ratio__min,-0.915776921101149,0.915776921101149
posture_rigidity_index__range,blink_cluster_density__std,0.9153043989242385,0.9153043989242385
blink_cluster_density__std,speech_onset_delay__range,0.9151758194859787,0.9151758194859787
au12_mean_amplitude__mean,eye_contact_ratio__max,0.9150313869183573,0.9150313869183573
head_velocity_peak__range,blink_cluster_density__std,0.9147033768692701,0.9147033768692701
blink_cluster_density__std,extended_silence_ratio__std,0.9141074625281231,0.9141074625281231
patient_id,blink_cluster_density__std,0.914000422075956,0.914000422075956
au20_activation_rate__mean,blink_cluster_density__std,0.913963003023132,0.913963003023132
au4_mean_activation__std,au4_mean_activation__min,-0.9136781001844259,0.9136781001844259
facial_emotional_range__range,motion_energy_floor_score__range,0.9135910289528355,0.9135910289528355
motion_energy_floor_score__std,motion_energy_floor_score__min,-0.9129299843563957,0.9129299843563957
patient_id,au12_activation_frequency__std,0.9124852909283829,0.9124852909283829
head_velocity_peak__range,blink_duration__range,0.9123142377437241,0.9123142377437241
au12_activation_frequency__range,au4_duration_ratio__range,0.9121742404055004,0.9121742404055004
blink_cluster_density__std,nod_onset_latency__range,0.9116797027367461,0.9116797027367461
au12_activation_frequency__range,speech_onset_delay__std,0.9116240726796127,0.9116240726796127
patient_id,blink_cluster_density__range,0.9114373730908375,0.9114373730908375
head_motion_energy__mean,head_motion_energy__max,0.9109776436419168,0.9109776436419168
au12_activation_frequency__std,nod_onset_latency__std,0.9105387659352169,0.9105387659352169
au1_au2_peak_intensity__std,au1_au2_peak_intensity__max,0.9102680847119468,0.9102680847119468
facial_transition_frequency__range,near_zero_au_activation_ratio__range,0.9099242640606073,0.9099242640606073
patient_id,au12_activation_frequency__range,0.9096324317940923,0.9096324317940923
head_velocity_peak__max,head_velocity_peak__range,0.9095566231521872,0.9095566231521872
facial_transition_frequency__range,extended_silence_ratio__std,0.9093738582458476,0.9093738582458476
gaze_shift_frequency__std,gaze_shift_frequency__range,0.9089770656184704,0.9089770656184704
pause_duration_mean__mean,extended_silence_ratio__min,0.9089673170317913,0.9089673170317913
au12_activation_frequency__range,au20_activation_rate__std,0.9087061226155704,0.9087061226155704
au12_activation_frequency__std,head_velocity_peak__range,0.9086635368422644,0.9086635368422644
au20_activation_rate__range,blink_cluster_density__std,0.9082881796852192,0.9082881796852192
au20_activation_rate__max,blink_cluster_density__std,0.9082881796852192,0.9082881796852192
pause_duration_mean__max,extended_silence_ratio__min,0.9069018851655586,0.9069018851655586
au12_mean_amplitude__mean,au12_mean_amplitude__max,0.9063496471744902,0.9063496471744902
au12_variance__std,au1_au2_peak_intensity__max,0.9048630670325389,0.9048630670325389
au12_variance__mean,au1_au2_peak_intensity__std,0.9044106312206655,0.9044106312206655
facial_emotional_range__range,motion_energy_floor_score__std,0.9043535943792159,0.9043535943792159
blink_cluster_density__std,eye_contact_ratio__std,0.9040879530291088,0.9040879530291088
au20_activation_rate__range,eye_contact_ratio__std,0.9034377951417473,0.9034377951417473
au20_activation_rate__max,eye_contact_ratio__std,0.9034377951417473,0.9034377951417473
overall_au_variance__std,overall_au_variance__range,0.9032584055325362,0.9032584055325362
overall_au_variance__std,overall_au_variance__max,0.9020285523366738,0.9020285523366738
au12_activation_frequency__std,speech_onset_delay__std,0.9015843825743981,0.9015843825743981
mean_head_velocity__min,motion_energy_floor_score__max,-0.9007537992290574,0.9007537992290574
patient_id,blink_duration__range,0.9006203120531685,0.9006203120531685
au12_mean_amplitude__min,eye_contact_ratio__max,0.900063438131009,0.900063438131009
